Length,Width,Gap,Char_Imp,beta_l,root_er
10,9.5,2.0,14.03583438111814,0.07460342946788118,3.919745560353784
10,9.5,2.5,14.42316265509685,0.06810566726293904,3.6525772990954772
10,9.5,3.0,14.817091087097545,0.07664337524465922,3.7265343335748473
10,9.5,3.5,15.289520580476864,0.13454604531110514,3.7137505957495924
10,9.5,4.0,15.651727876230886,0.0009029044367327363,3.802238388402374
10,9.5,4.5,15.960510551524779,0.01061861750412944,3.7331929229485645
10,9.5,5.0,15.774958515747183,0.046039339255436455,3.5725740908282893
10,9.5,5.5,15.996701665408864,0.029554108395152528,3.7952025526466584
10,9.5,6.0,16.009049776574585,0.10668133071375456,3.6745948482955755
10,9.5,6.5,16.265449129333337,-0.09190217959836353,3.7821750288371114
10,9.5,7.0,16.247717038693967,-0.0361581880751185,3.833764270210079
10,9.5,7.5,16.192471872361025,0.107756125392059,3.768843733650949
10,9.5,8.0,16.37960783323076,0.09665476792891714,3.6878839561951815
10,9.5,8.5,16.45082951102685,0.17168706786038734,3.7815417232114545
10,9.5,9.0,16.340297678090053,0.1551944007865109,4.016429329146736
10,9.5,9.5,16.162402740860436,0.04605465531390697,3.8652537385687684
10,9.5,10.0,16.064601979310535,0.21566631692425883,3.8166097509745853
10,9.5,10.5,16.130269968797244,-0.00038687939978879204,3.983213113196162
10,9.5,11.0,16.203340091089608,0.08025229576857458,3.983851281960336
10,9.5,11.5,16.272330075606437,0.07956887581074844,3.9683749288616457
10,10.0,2.0,13.835101788629263,-0.2724819289274931,3.728877309310969
10,10.0,2.5,14.177351688584727,0.05434826427865842,3.803677765369476
10,10.0,3.0,14.80332206198927,0.1404814918591379,3.7656569793505206
10,10.0,3.5,15.391665473567611,-0.281681151807263,3.6132807661244652
10,10.0,4.0,15.021684878195996,0.12539892695259025,3.838429315653694
10,10.0,4.5,15.340072653485139,0.017997094714951117,3.8417551276428057
10,10.0,5.0,15.365766442055453,0.011674717244925602,3.934252583199653
10,10.0,5.5,15.641032604956003,0.16457248842850214,3.7286339350579505
10,10.0,6.0,15.68402263350355,-0.05688793157128681,3.9399873299466903
10,10.0,6.5,15.708617470792412,0.03378330014456161,3.8448180932516745
10,10.0,7.0,15.855306935196245,-0.013269139251109695,3.8655529322276045
10,10.0,7.5,15.817044081562944,-0.09484469196594475,3.559425538228274
10,10.0,8.0,15.639985149989123,-0.09925522238416812,3.9663612828808095
10,10.0,8.5,15.72853930193835,0.004425950415553555,4.06195375063217
10,10.0,9.0,15.647778139494497,0.14668526616002897,3.923225105954196
10,10.0,9.5,15.509489987105109,-0.012696345674118044,4.134865466736742
10,10.0,10.0,15.654921774331699,0.11160886271087657,4.0496298137887035
10,10.0,10.5,15.74173697674855,0.24979917367964527,4.133350861143588
10,10.0,11.0,15.84373279844013,0.21000773680891505,3.9463625035873084
10,10.0,11.5,16.09279616588257,-0.0371093139318319,3.8124828116847937
10,10.5,2.0,13.996326347818124,-0.06207546342386267,4.317805911261136
10,10.5,2.5,14.30444193877607,0.035047962302778395,4.229065376320582
10,10.5,3.0,15.054069391320798,0.09070105041001547,4.1728442550655185
10,10.5,3.5,15.382953910363398,0.05016382689606961,4.120355540255783
10,10.5,4.0,15.550898967501883,0.11304139195798918,4.091506126269234
10,10.5,4.5,15.532937182131093,-0.07526701121903831,4.040885322676341
10,10.5,5.0,15.752781942710595,0.10692535708365034,4.310553184955921
10,10.5,5.5,15.793184516612003,0.20958311365308413,4.396264293496081
10,10.5,6.0,15.867348130937597,0.039718965942691115,4.166142556007208
10,10.5,6.5,15.958229392350875,0.18459904376963693,4.511472710953463
10,10.5,7.0,15.885125721261902,-0.093059920895121,4.2383990305232
10,10.5,7.5,16.208140165980673,-0.1111625804187798,4.313986964986412
10,10.5,8.0,15.849620623665615,0.008680467386751364,4.341219544051286
10,10.5,8.5,15.881541436233235,0.050348465957313626,4.414201573607449
10,10.5,9.0,15.755659035139827,0.039315948305000896,4.585070860942311
10,10.5,9.5,15.627691577062643,0.11911994965075559,4.585297044827788
10,10.5,10.0,15.842859863180005,0.02279057916934038,4.461136212648424
10,10.5,10.5,16.15225334252238,0.09919958386598648,4.392943674087689
10,10.5,11.0,16.067336325503856,0.21495956904074331,4.397069785639342
10,10.5,11.5,16.286399320972233,-0.003060980786415486,4.562946191117521
10,11.0,2.0,14.455349495742716,0.30234716315158855,4.656033308526899
10,11.0,2.5,14.769726050618072,0.1959945254341717,4.697007977177637
10,11.0,3.0,15.087458684804623,-0.03423549534196159,4.6078304769616665
10,11.0,3.5,15.510319401871541,-0.025595032078102778,4.76760156034304
10,11.0,4.0,15.429677879394996,0.07096895974843383,4.674227404724999
10,11.0,4.5,15.843671982078513,0.13269011944395132,4.691917082666315
