Length,Width,Inductance,Peak Q,Peak Q Freq,SRF
85,7.0,55.10569783543972,127.46115436638839,115.76931307301408,
85,7.5,53.180804169678744,130.4050615029258,117.86816515200023,
85,8.0,50.097305334070015,124.98525274637151,115.11272409659918,
85,8.5,48.78241037537407,127.93538135394473,108.4865501082001,
85,9.0,49.11038602277199,128.88760199835002,105.97040317964209,
85,9.5,48.469220903370775,129.13631950843026,113.30170924007201,
85,10.0,50.709225202459784,124.08019677250047,103.08722417181846,
85,10.5,47.85943764936551,126.85789026185272,105.96768339074356,
85,11.0,45.86142200538909,127.44377714634842,105.0543861688965,
85,11.5,47.76018865027143,130.85710021124828,99.53442213499618,
85,12.0,45.26447613009057,134.0452776966636,101.29756759131591,
90,2.0,70.71560991529762,100.099706910526,135.61322940728803,
90,2.5,71.59809393623317,101.62729331573134,126.77215903478908,
90,3.0,65.5298706458097,88.50411245706292,139.76412980234548,
90,3.5,67.93721807511794,97.01720680156416,125.49752172043583,
90,4.0,62.37276069071048,99.51925372723022,120.94367252152304,
90,4.5,63.944261580318084,100.85757179538116,128.09903565830828,
90,5.0,61.74171603016525,106.56580986957479,126.71037725846729,
90,5.5,60.51189663383243,111.99733139762202,121.30947339420749,
90,6.0,58.30261493170997,114.95723302589641,118.20490221035979,
90,6.5,59.26350172686345,119.66089027261766,109.24615302180402,
90,7.0,55.798674558309045,113.88156068532406,111.29496842806856,
90,7.5,56.40111451283513,114.72095366919054,103.1586016731214,
90,8.0,56.15621601131462,113.10173972107721,110.69057873541198,
90,8.5,55.26568105409072,121.12294840935738,100.42277069666314,
90,9.0,52.06731039428659,113.9601273261942,98.5752170284175,
90,9.5,55.00272418614931,123.45025636408394,96.9197212787157,
90,10.0,53.420325922925706,117.55380075437999,97.61948489290836,
90,10.5,50.36777507922314,123.36303731982065,100.42174541665611,
90,11.0,53.95948060202286,124.45269531718719,96.93875280891915,
90,11.5,53.36399304794123,117.9301810627092,95.3457424258572,
90,12.0,49.10814516419615,129.04863099919146,89.41543854038426,
95,2.0,73.68240468303952,89.08741986359591,124.34743317037109,
95,2.5,74.78533314242033,102.68777756170977,121.7388686945771,
95,3.0,72.98959484741893,87.4835716202041,128.97629108448956,
95,3.5,72.77611325287047,91.88204179094544,117.27679669533585,
95,4.0,69.86061766241242,95.63785691347903,116.76214769929396,
95,4.5,69.31799851629277,102.95578384026041,114.97212899366222,
95,5.0,66.93425112024582,102.24731811028659,112.62071683508339,
95,5.5,68.19975028757337,108.89828089545374,112.01040187445523,
95,6.0,66.41082244135333,109.84123041011145,104.55358455165971,
95,6.5,64.32046219776583,107.69979635632376,103.16147339674968,
95,7.0,61.663579170667305,114.02605662735617,104.80771294720948,
95,7.5,58.40063490640308,113.76736594869278,107.64932280337229,
95,8.0,59.52215696281797,110.29487732136677,93.3324911605568,
95,8.5,57.13608883231184,109.59575261066857,92.6952779082344,
95,9.0,59.858097310689175,108.00022638677308,91.98765770365351,
95,9.5,55.56989548734683,111.32871663261137,91.44406816134138,
95,10.0,59.630753041027575,112.02562992564688,88.53233233199144,
95,10.5,55.38047110368145,111.7653841733913,91.43209946542069,
95,11.0,56.95092694748853,110.83242076574412,86.66414618609261,
95,11.5,52.98637366326868,116.5289446077338,87.02526180215729,
95,12.0,54.63250354640683,118.76068683352399,81.75997855315784,
100,2.0,77.36965277711042,90.85543581949811,121.72874684561789,
100,2.5,77.16744818496075,97.44487272112566,112.72544237782623,
100,3.0,76.42327514151984,86.9960409452901,116.00561262356689,
100,3.5,77.58839963479292,88.66161245287978,112.21832284160958,
100,4.0,74.7005854224573,95.08242030925481,106.2756842476053,
100,4.5,71.05497466892136,93.70681714131307,108.72177808657607,
100,5.0,68.01092048152269,101.13918521235614,105.68075384903382,
100,5.5,72.91659811362878,95.15409048593361,97.83670465369644,
100,6.0,70.33011454177117,97.20840358780647,100.99674705918893,
100,6.5,68.90195350289248,98.22361174974196,96.28394041152568,
100,7.0,67.90891499475583,102.80588034901889,100.71331480960225,
100,7.5,65.51704136379087,106.06295805880033,90.4763765230033,
100,8.0,62.954070706080294,108.14935373506789,90.33576738535166,
100,8.5,61.36680070844092,110.15937310717324,86.86958693143605,
100,9.0,64.37341295785505,104.57357287293537,87.09014181967504,
100,9.5,63.93256424016936,112.20897672636266,80.44384956388217,
100,10.0,58.22349497008104,106.57610278522453,80.75374555269595,
100,10.5,58.32412213209643,110.43439404080729,84.65257845536549,
100,11.0,62.39494051433689,112.89210044216921,81.88942947994647,
100,11.5,61.566915308146925,114.88833535130894,79.0871323753689,
100,12.0,58.5302325406267,108.1688391092315,81.28910310708511,
105,2.0,82.07461859896408,85.96583009292675,117.60707814659946,
105,2.5,87.2769757751207,93.33306490135321,108.27042057199937,
105,3.0,80.83030330835119,75.6103165435345,113.56214933752204,
105,3.5,80.2957985300055,86.52083955883278,110.5164402864907,
105,4.0,79.20246471887847,89.45999447970915,103.91544635597349,
105,4.5,75.97514897375557,92.6595629034013,97.32296463019928,
105,5.0,78.08739119896119,96.01330781790627,97.96418898910929,
105,5.5,72.86123480163334,90.9064787840973,99.66832437216058,
105,6.0,74.16462661372705,92.05287912476449,89.43086249636326,
105,6.5,74.59175398152546,97.30239022646875,87.3145913107279,
105,7.0,73.64391113776091,96.7742816355568,85.45201621269935,
